LCA stage,Contribution,Contribution type,Expense,Amount per FU,contribution unit,Data type,EF,EF unit,Source & rationale,GHG [gram CO2e],,
S6 - Retailing,Electricity use in distribution warehouse,Activity,$0.1,4.23E-03,kWh,Secondary,0.48,kg CO2/kWh,"using simapro, USLCI, Electricity at grid, NEWE, 2008, RNA U",2.031,,
S7 - Use phase ,Refrigeration at consumer household,Activity,$0.03,4.03E-02,kWh,secondary,0.779,kg CO2/kWh,"using simapro, electricity at grid for the US, USLCI",31.373,,
S8 - End of life ,recycling paperboard,activity,$0.15,11.45,grams,secondary,0.0463,kgCO2e/kg,"EcoInvent ""waste paper, mixed, from public collection, for further treatment""(CH)",0.530,,
S8 - End of life ,Landfilling of paperboard,activity,$0.03,1.85,grams,secondary,1.26,kgCO2e/kg,"EcoInvent ""disposal, packaging cardboard, 19.6% water, to sanitary landfill"" (CH)",2.331,,
S8 - End of life ,Incineration of paperboard,activity,$0.03,8.43,grams,secondary,0.0253,kgCO2e/kg,"EcoInvent ""disposal, packaging cardboard, 19.6% water, to municipal incineration""(CH)",0.213,,
S8 - End of life ,Landfilling of  plastic,activity,$0.03,0.49,grams,secondary,0.0848,kgCO2e/kg,"EcoInvent ""disposal, plastics, mixture, 15.3% water, to sanitary landfill"" (CH)",0.042,,
S8 - End of life ,Incineration of  plastic,activity,$0.03,2.25,grams,secondary,2.35,kgCO2e/kg,"EcoInvent ""disposal, plastics, mixture, 15.3% water, to municipal incineration""(CH)",5.284,,
S8 - End of life ,Landfilling of Wooden Pallet,activity,$0.03,0.09,grams,secondary,0.0654,kgCO2e/kg,"EcoInvent ""disposal, wood untreated, 20% water, to sanitary landfill"" (CH)",0.006,,
S8 - End of life ,Incineration of Wooden Pallet,activity,$0.03,0.39,grams,secondary,0.0118,kg-CO2e/kg,"EcoInvent ""disposal, wood untreated, 20% water, to municipal incineration"" (CH)",0.005,,
S8 - End of life ,Solid waste from St.Albans ,material,$0.03,1.49,grams,primary,0.498,kgCO2e/kg,"SimaPro:(Ecoinvent, Disposal, municipal solid waste 22.9% water, to sanitary landfill/CH S)",0.741,,
S8 - End of life ,Dairy waste of the creamery,material,$0.03,0.0107,gallons,primary,0,,"""recycled content method"": production  from a recycled material accounts for zero.",0.00,,
S8 - End of life ,Wastewater lagoon of the farm,material,$0.03,0.00004283634202,cows,primary,2.15,ton CO2e/cow/year,Ben & Jerry report p.20 - estimation by Dennis Totzke (B&J Waste water Eng),92.098,,
S8 - End of life , waste from methane digester,material,$0.03,0,N/A,primary,0,N/A,"Liquid waste from digesters are used as fertilizers, solid waste are used for bedding(Andrea Asch). If we use the ""recycled content method"" the part of recycled material doesn't account for emission. ",0.00,,
S8 - End of life ,Wastewater lagoon in Waterbury plant,material,$0.03,1.23,grams,primary,0.000035658850061,kg CO2e ,Ben & Jerry report p.26 - estimation by Dennis Totzke (B&J Waste water Eng) accounting methane and nitrous oxide emissions.[ (GHG in ton per year X 2000 lb/ton X .453kg/lb) / total amount of pints produced at waterbury per year ]/ total weight of ingredients,0.044,,
S8 - End of life ,Solid waste from Waterbury plant ,material,$0.03,2.00,grams,primary,0.498,kgCO2e/kg,"SimaPro:(Ecoinvent, Disposal, municipal solid waste 22.9% water, to sanitary landfill/CH S)",1.00,,
S8 - End of life ,Incineration of non-edible waste,activity,$0.03,1.94,grams,primary,0.33,kgCO2e/kg,"Simapro: (Ecoinvent, Waste Incineration of municipal solid waste (MSW), EU-27)",0.639,,
S8 - End of life ,napkins - Consumer Waste at Retail Store,material,$0.03,5,,secondary,0.939,kgCO2e/kg,"EcoInvent ""disposal, paper, 11.2% water, to sanitary landfill"" (CH). Assumed trash from retail stores go to landfill.",4.695,,
S8 - End of life ,spoons - Consumer Waste at Retail Store,material,$0.03,5,,secondary,0.0848,kgCO2e/kg,"EcoInvent ""disposal, plastics, mixture, 15.3% water, to sanitary landfill"" (CH) Assumed trash from retail stores go to landfill.",0.424,,
S8 - End of life ,cups - Consumer Waste at Retail Store,material,$0.03,10,,secondary,0.939,kgCO2e/kg,"EcoInvent ""disposal, paper, 11.2% water, to sanitary landfill"" (CH). Assumed trash from retail stores go to landfill.",9.39,,
"S9 - ""Non-attributable"" activities and materials",corporate use of electricity,Activity,$0.01,0.0037,kWh,secondary,0.48,kg CO2/kWh,"using simapro, USLCI, Electricity at grid, NEWE, 2008, RNA U",1.756,,
"S9 - ""Non-attributable"" activities and materials",corporate travel,Activity,$0.2,0.0082,miles,secondary,0.42,kg CO2/mile,using B&J inventory LCA to obtain EF from corporate travel,3.430,,
"S9 - ""Non-attributable"" activities and materials",distribution facility electricity use,Activity,$0.03,0.00423,kWh,secondary,0.48,kg CO2/kWh,"using simapro, USLCI, Electricity at grid, NEWE, 2008, RNA U",2.031,,
